OFF_index,OFF_SeasonID,OFF_Total Points Per Game,OFF_Total Points,OFF_Total Touchdowns,OFF_Total 1st downs,OFF_Rushing 1st downs,OFF_Passing 1st downs,OFF_1st downs by penalty,OFF_3rd down efficiency,OFF_3rd down %,OFF_4th down efficiency,OFF_4th down %,OFF_Comp-Att,OFF_Net Passing Yards,OFF_Yards Per Pass Attempt,OFF_Net Passing Yards Per Game,OFF_Passing Touchdowns,OFF_Interceptions,OFF_Sacks-Yards Lost,OFF_Rushing Attempts,OFF_Rushing Yards,OFF_Yards Per Rush Attempt,OFF_Rushing Yards Per Game,OFF_Rushing Touchdowns,OFF_Total Offensive Plays,OFF_Total Yards,OFF_Yards Per Game,OFF_Kickoffs: Total,OFF_Average Kickoff Return Yards,OFF_Punt: Total,OFF_Average Punt Return Yards,OFF_INT: Total,OFF_Average Interception Yards,OFF_Net Average Punt Yards,OFF_Punt: Total Yards,OFF_FG: Good-Attempts,OFF_Touchback Percentage,OFF_Total-Yards,OFF_Avg. Per Game (YDS),OFF_Possession Time Seconds,OFF_Fumbles-Lost,OFF_Turnover Ratio,OFF_Games,DEF_index,DEF_Total Points Per Game,DEF_Total Points,DEF_Total Touchdowns,DEF_Total 1st downs,DEF_Rushing 1st downs,DEF_Passing 1st downs,DEF_1st downs by penalty,DEF_3rd down efficiency,DEF_3rd down %,DEF_4th down efficiency,DEF_4th down %,DEF_Comp-Att,DEF_Net Passing Yards,DEF_Yards Per Pass Attempt,DEF_Net Passing Yards Per Game,DEF_Passing Touchdowns,DEF_Interceptions,DEF_Sacks-Yards Lost,DEF_Rushing Attempts,DEF_Rushing Yards,DEF_Yards Per Rush Attempt,DEF_Rushing Yards Per Game,DEF_Rushing Touchdowns,DEF_Total Offensive Plays,DEF_Total Yards,DEF_Yards Per Game,DEF_Kickoffs: Total,DEF_Average Kickoff Return Yards,DEF_Punt: Total,DEF_Average Punt Return Yards,DEF_INT: Total,DEF_Average Interception Yards,DEF_Net Average Punt Yards,DEF_Punt: Total Yards,DEF_FG: Good-Attempts,DEF_Touchback Percentage,DEF_Total-Yards,DEF_Avg. Per Game (YDS),DEF_Possession Time Seconds,DEF_Fumbles-Lost,DEF_Turnover Ratio,DEF_Games
20,Offense--det-2023,26.7,294,36,247,80,151,16,65-152,42.76,13-27,48.15,275-405,2954,7.6,268.5,18,8,21-121,328,1506,4.6,136.9,17,754,4581,416.5,13-289,22.2,16-168,6.4,8-116,14.5,42.9,"32-1,438",13-15,61,62-578,52,32:07,13-9,-5,17,21,23.5,258,30,216,56,133,27,46-127,36.22,10-17,58.82,237-376,2503,7.2,227.5,19,8,23-194,260,1004,3.9,91.3,8,659,3701,336.5,18-369,20.5,10-64,10.5,8-153,19.1,44.8,"43-2,096",17-21,71,56-488,44.364,28:16,9-4,119,17
22,Offense--gb-2023,21.0,231,27,200,53,128,19,65-149,43.62,10-19,52.63,226-373,2443,7.0,222.1,19,10,22-170,274,1130,4.1,102.7,6,669,3743,340.3,22-563,25.6,19-175,13.3,5-66,13.2,41.1,"45-2,104",15-19,51,79-619,56,28:38,15-2,0,17,23,20.4,224,23,223,85,118,20,63-158,39.87,11-22,50.00,230-357,2256,6.8,205.1,12,5,26-158,341,1487,4.4,135.2,10,724,3901,354.6,22-504,22.9,19-253,9.2,10-181,18.1,40.9,"40-1,812",21-27,55,66-634,57.636,31:21,9-7,131,17
24,Offense--hou-2023,23.5,259,28,228,55,156,17,66-150,44.00,5-12,41.67,251-393,3038,8.3,276.2,20,5,27-236,291,1086,3.7,98.7,7,711,4360,396.4,11-285,25.9,18-143,6.1,8-60,7.5,43.0,"44-1,977",22-26,61,72-603,54,29:30,11-6,4,17,25,21.1,232,24,224,73,125,26,62-147,42.18,5-13,38.46,264-383,2778,7.7,252.5,11,8,24-171,294,1046,3.6,95.1,13,701,3995,363.2,20-442,22.1,14-86,7.9,5-86,17.2,43.6,"42-1,975",21-26,78,70-611,55.545,30:29,15-7,151,17
26,Offense--ind-2023,24.5,269,30,210,72,119,19,58-154,37.66,11-22,50.00,237-381,2420,6.7,220.0,11,8,24-129,313,1335,4.3,121.4,16,718,3884,353.1,5-118,23.6,19-179,10.7,12-177,14.8,41.7,"47-2,216",19-23,77,68-485,44,29:21,14-8,2,17,27,24.4,268,28,224,86,117,21,61-159,38.37,11-17,64.71,244-378,2461,7.1,223.7,12,12,36-234,337,1422,4.2,129.3,15,751,4117,374.3,10-256,25.6,24-256,9.4,8-101,12.6,43.9,"44-2,110",24-29,82,56-470,42.727,31:49,17-6,124,17
28,Offense--jax-2023,23.1,254,26,218,66,123,29,53-144,36.81,7-16,43.75,254-377,2618,7.4,238.0,12,7,25-154,320,1168,3.7,106.2,12,722,3940,358.2,12-285,23.8,16-171,6.8,11-171,15.5,45.8,"41-1,973",23-26,76,54-427,38,31:42,19-11,2,17,29,20.5,225,27,198,58,129,11,50-143,34.97,12-26,46.15,269-415,2805,7.1,255.0,18,11,24-158,243,961,4.0,87.4,7,682,3924,356.7,10-269,26.9,14-95,10.7,7-89,12.7,42.7,"48-2,219",12-16,71,74-700,63.636,28:17,15-9,129,17
30,Offense--kc-2023,23.3,256,28,239,73,147,19,64-140,45.71,5-10,50.00,283-417,2843,7.1,258.5,21,11,14-105,279,1171,4.2,106.5,6,710,4119,374.5,5-97,19.4,28-214,13.0,6-41,6.8,43.5,"39-1,865",20-20,95,71-595,54,31:25,13-8,-5,17,31,16.5,181,21,191,66,107,18,52-140,37.14,7-18,38.89,213-346,1943,6.2,176.6,13,6,37-212,272,1247,4.6,113.4,7,655,3402,309.3,3-75,25.0,13-169,7.6,11-137,12.5,41.7,"52-2,380",10-13,88,49-416,37.818,28:34,17-8,149,17
32,Offense--lv-2023,16.8,202,20,204,52,130,22,50-146,34.25,10-19,52.63,246-389,2416,6.8,201.3,11,17,28-214,285,992,3.5,82.7,8,702,3622,301.8,8-195,24.4,15-162,7.9,10-219,21.9,48.1,"46-2,348",20-24,67,56-488,40,28:09,10-4,-7,17,33,21.3,256,28,244,88,135,21,65-154,42.21,7-15,46.67,271-394,2601,7.0,216.8,15,10,28-154,347,1524,4.4,127.0,12,769,4279,356.6,17-367,21.6,17-135,10.8,17-88,5.2,43.6,"40-1,906",21-24,84,71-629,52.417,31:50,8-4,182,17
34,Offense--lac-2023,24.5,269,31,214,57,138,19,67-154,43.51,11-20,55.00,267-403,2679,7.1,243.5,21,6,25-196,279,1143,4.1,103.9,9,707,4018,365.3,7-145,20.7,16-261,8.2,6-31,5.2,42.0,"44-1,973",17-18,86,57-548,49,28:34,14-6,3,17,35,23.5,258,30,248,69,152,27,50-142,35.21,16-27,59.26,283-421,3080,7.9,280.0,17,6,36-260,287,1217,4.2,110.6,13,744,4557,414.3,7-146,20.9,15-123,16.3,6-29,4.8,42.7,"39-1,925",17-19,83,76-561,51,31:52,17-9,141,17
36,Offense--lar-2023,21.1,232,24,220,69,129,22,61-147,41.50,9-15,60.00,226-380,2493,7.0,226.6,13,10,22-168,294,1254,4.3,114.0,11,696,3915,355.9,6-112,18.7,20-150,11.4,5-18,3.6,41.9,"40-1,934",22-30,86,64-544,49,30:09,5-2,-3,17,37,21.3,234,23,217,72,123,22,59-149,39.60,11-16,68.75,231-374,2397,6.9,217.9,11,5,25-175,298,1246,4.2,113.3,11,697,3818,347.1,7-212,30.3,19-216,7.5,10-93,9.3,43.3,"41-1,927",23-29,76,73-630,57.273,30:13,9-4,141,17
38,Offense--mia-2023,30.8,339,44,246,74,157,15,52-123,42.28,5-15,33.33,265-380,3138,8.5,285.3,23,11,18-106,292,1597,5.5,145.2,19,690,4841,440.1,11-268,24.4,19-173,6.9,9-184,20.4,43.5,"31-1,411",11-14,83,65-527,47,30:07,20-8,-5,17,39,22.8,251,30,208,72,118,18,51-142,35.92,9-21,42.86,258-378,2336,6.9,212.4,16,9,38-254,271,1021,3.8,92.8,9,687,3611,328.3,11-332,30.2,9-62,9.1,11-263,23.9,45.6,"46-2,270",14-16,76,58-450,40.909,29:52,9-5,142,17
40,Offense--min-2023,21.9,263,30,244,57,155,32,64-159,40.25,14-21,66.67,309-449,3103,7.3,258.6,23,10,27-161,284,1105,3.9,92.1,5,760,4369,364.1,7-176,25.1,24-197,7.6,9-111,12.3,44.6,"38-1,809",18-23,73,58-444,37,29:22,23-14,-8,17,41,20.2,242,23,223,73,140,10,71-170,41.77,11-17,64.71,298-426,2692,6.9,224.3,15,9,32-231,309,1152,3.7,96.0,7,767,4075,339.6,14-340,24.3,15-114,8.2,10-172,17.2,42.9,"47-2,211",26-30,86,87-749,62.417,30:37,18-7,155,17
42,Offense--ne-2023,13.5,148,16,190,71,106,13,49-146,33.56,7-17,41.18,243-384,2132,5.9,193.8,10,14,25-146,276,1096,4.0,99.6,6,685,3374,306.7,9-206,22.9,20-129,8.6,6-42,7.0,43.9,"56-2,677",12-18,68,65-478,43,27:54,11-5,-8,17,43,22.5,248,26,204,60,127,17,59-152,38.82,8-12,66.67,250-377,2450,6.9,222.7,13,6,24-153,306,1035,3.4,94.1,9,707,3638,330.7,12-281,23.4,25-216,6.5,14-317,22.6,45.2,"48-2,300",21-25,81,61-442,40.182,32:05,12-5,158,17
44,Offense--no-2023,20.8,229,22,215,70,126,19,60-162,37.04,8-14,57.14,272-420,2670,6.7,242.7,13,8,25-160,305,1148,3.8,104.4,7,750,3978,361.6,16-343,21.4,18-259,5.3,14-95,6.8,41.1,"50-2,155",24-30,89,70-642,58,31:10,10-6,6,17,45,20.2,222,23,204,71,108,25,52-146,35.62,5-11,45.46,211-358,2159,6.3,196.3,14,14,18-114,305,1364,4.5,124.0,7,681,3637,330.6,6-127,21.2,19-101,14.4,8-145,18.1,39.7,"49-2,205",20-23,67,71-533,48.455,28:49,9-6,127,17
46,Offense--nyg-2023,13.3,159,17,184,63,98,23,55-178,30.90,11-23,47.83,231-352,1819,6.2,151.6,11,9,69-366,328,1285,3.9,107.1,4,749,3470,289.2,12-249,20.8,23-149,5.3,12-281,23.4,44.6,"72-3,362",14-20,77,66-533,44,29:54,19-5,5,17,47,24.3,292,35,244,93,129,22,54-154,35.07,7-14,50.00,255-406,2739,7.1,228.3,14,12,21-161,340,1633,4.8,136.1,18,767,4533,377.8,9-244,27.1,29-154,6.5,9-233,25.9,46.2,"54-2,643",16-22,79,75-622,51.833,30:25,15-7,140,17
48,Offense--nyj-2023,14.8,163,13,159,44,98,17,35-145,24.14,12-18,66.67,225-376,1835,5.8,166.8,7,10,47-339,226,1027,4.5,93.4,3,649,3201,291.0,14-302,21.6,17-170,11.4,12-145,12.1,43.9,"64-3,160",23-24,83,71-538,48,27:31,20-10,-1,17,49,21.6,238,22,213,80,109,24,70-165,42.42,4-6,66.67,220-347,2015,6.3,183.2,13,12,28-170,365,1543,4.2,140.3,7,740,3728,338.9,5-82,16.4,31-352,10.0,10-186,18.6,40.7,"52-2,288",27-32,75,58-496,45.091,32:55,20-7,142,17
